ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
174,金六福荣耀珠宝（甄选店）,QW930313,141960,male,时尚,0,86484,19723,14.5w,2429.80 ,24.30 ,4.29,48,5919,3天16时44分20秒
175,惠买兄弟,huimaiXD,6276319,male,搞笑,14,504877,146665,47.1w,2428.20 ,24.28 ,4.49,36,524,3天10时1分2秒
176,荣耀官方直播间,HONOR_520,801954,female,科技,1,291007,6808,1.5w,2424.90 ,24.25 ,4.98,30,87,19天19时23分28秒
177,缅玉世珍珠宝～糖糖大小姐,MYSZ66666666,97582,female,时尚,0,50360,1178,1.6w,2407.40 ,24.07 ,4.76,29,6960,8天14时22分20秒
178,Oinny,HXB831120,752472,male,穿搭,4,367698,7235,11.5w,2394.40 ,23.94 ,4.81,38,136,16天16时8分37秒
179,广州表哥,gzbg666,3102923,male,种草,2,316297,130278,26.5w,2375.40 ,23.75 ,4.37,50,196,3天18时45分14秒
180,李美丽kimi 7月7日早上8点欧琳蒂,kimi970806,471903,female,穿搭,4,206111,8951,16.7w,2366.50 ,23.67 ,4.83,16,666,3天17时24分45秒
181,缅甸之旅,MianDianZhiLv01,258543,female,时尚,0,50408,1261,8869,2362.40 ,23.62 ,4.92,45,35,24天19时2分58秒
182,小美M—羊绒衫自产,20200621m,250160,female,穿搭,4,82484,3027,7.2w,2339.70 ,23.40 ,4.97,18,790,4天2时10分37秒
183,小小莎老师（周三晚七点直播）,Xiaosha666,6328755,female,时尚,0,300071,4346,16.4w,2326.40 ,23.26 ,4.89,19,531,4天4时7分28秒
